group;week;Heritability;sd;kk
"""gomFCR""";4;0.1728035;;1
"""gomFCR""";5;0.1945285;;1
"""gomFCR""";6;0.2352567;;1
"""gomFCR""";7;0.1891947;;1
"""gomFCR""";8;0.1349017;;1
"""gomFCR""";9;0.1985255;;1
"""gomFCR""";10;0.3209711;;1
"""gomFCR""";11;0.3887226;;1
"""gomFCR""";12;0.4023863;;1
"""gomFCR""";13;0.4792201;;1
"""mFCR""";4;0.19345133;;1
"""mFCR""";5;0.26676702;;1
"""mFCR""";6;0.27224461;;1
"""mFCR""";7;0.18180526;;1
"""mFCR""";8;0.09436666;;1
"""mFCR""";9;0.1555859;;1
"""mFCR""";10;0.30288029;;1
"""mFCR""";11;0.39516527;;1
"""mFCR""";12;0.42773513;;1
"""mFCR""";13;0.53122035;;1
"""oFCR""";4;0.20579099;;1
"""oFCR""";5;0.17644428;;1
"""oFCR""";6;0.15082731;;1
"""oFCR""";7;0.11256279;;1
"""oFCR""";8;0.08591721;;1
"""oFCR""";9;0.09548669;;1
"""oFCR""";10;0.13377407;;1
"""oFCR""";11;0.17613094;;1
"""oFCR""";12;0.23160418;;1
"""oFCR""";13;0.35302683;;1
G;4;0.4391086;;2
G;5;0.4508733;;2
G;6;0.4107273;;2
G;7;0.2935183;;2
G;8;0.1827058;;2
G;9;0.1907807;;2
G;10;0.2637826;;2
G;11;0.2951175;;2
G;12;0.2966533;;2
G;13;0.4406892;;2
T;4;0.3216777;;2
T;5;0.2976859;;2
T;6;0.2593963;;2
T;7;0.204162;;2
T;8;0.1559293;;2
T;9;0.1411633;;2
T;10;0.166906;;2
T;11;0.2102592;;2
T;12;0.2427889;;2
T;13;0.2702673;;2
SIGOM;4;0.1939756;;2
SIGOM;5;0.2117057;;2
SIGOM;6;0.2350482;;2
SIGOM;7;0.181025;;2
SIGOM;8;0.1302661;;2
SIGOM;9;0.2043699;;2
SIGOM;10;0.3304009;;2
SIGOM;11;0.3918884;;2
SIGOM;12;0.3824711;;2
SIGOM;13;0.4234233;;2
sIM;4;0.17709417;;2
sIM;5;0.15447359;;2
sIM;6;0.13640579;;2
sIM;7;0.11049971;;2
sIM;8;0.08905453;;2
sIM;9;0.09078731;;2
sIM;10;0.1224055;;2
sIM;11;0.17502349;;2
sIM;12;0.23635676;;2
sIM;13;0.30418238;;2
SIV;4;0.20579099;;2
SIV;5;0.17644428;;2
SIV;6;0.15082731;;2
SIV;7;0.11256279;;2
SIV;8;0.08591721;;2
SIV;9;0.09548669;;2
SIV;10;0.13377407;;2
SIV;11;0.17613094;;2
SIV;12;0.23160418;;2
SIV;13;0.35302683;;2
